Name,Role,Team,Type,Price
Ruturaj Gaikwad,Batter,CSK,Indian,5 CR
MS Dhoni,Wicketkeeper,CSK,Indian,10 L
Dewald Brevis,Batter,CSK,Overseas,1 CR
Ayush Mhatre,Batter,CSK,Indian,10 L
Urvil Patel,Wicketkeeper,CSK,Indian,10 L
Anshul Kamboj,All-rounder,CSK,Indian,10 L
Jamie Overton,Bowler,CSK,Overseas,10 L
Ramakrishna Ghosh,All-rounder,CSK,Indian,10 L
Shivam Dube,All-rounder,CSK,Indian,5 CR
Khaleel Ahmed,Bowler,CSK,Indian,1 CR
Noor Ahmad,Bowler,CSK,Overseas,1 CR
Mukesh Choudhary,Bowler,CSK,Indian,1 CR
Nathan Ellis,Bowler,CSK,Overseas,10 L
Shreyas Gopal,Bowler,CSK,Indian,10 L
Gurjapneet Singh,Bowler,CSK,Indian,10 L
Sanju Samson,Wicketkeeper,CSK,Indian,5 CR
Akeal Hosein,Bowler,CSK,Overseas,10 L
Prashant Veer,All-rounder,CSK,Indian,10 L
Kartik Sharma,Wicketkeeper,CSK,Indian,10 L
Matthew Short,All-rounder,CSK,Overseas,10 L
Aman Khan,All-rounder,CSK,Indian,10 L
Sarfaraz Khan,Batter,CSK,Indian,10 L
Rahul Chahar,Bowler,CSK,Indian,1 CR
Matt Henry,Bowler,CSK,Overseas,10 L
Zak Foulkes,All-rounder,CSK,Overseas,10 L
KL Rahul,Wicketkeeper,DC,Indian,5 CR
Karun Nair,Batter,DC,Indian,10 L
Abishek Porel,Wicketkeeper,DC,Indian,10 L
Tristan Stubbs,Batter,DC,Overseas,5 CR
Axar Patel,All-rounder,DC,Indian,5 CR
Sameer Rizvi,Batter,DC,Indian,10 L
Ashutosh Sharma,Batter,DC,Indian,1 CR
Vipraj Nigam,All-rounder,DC,Indian,10 L
Ajay Mandal,All-rounder,DC,Indian,10 L
Tripurana Vijay,All-rounder,DC,Indian,10 L
Madhav Tiwari,All-rounder,DC,Indian,10 L
Mitchell Starc,Bowler,DC,Overseas,1 CR
T. Natarajan,Bowler,DC,Indian,10 L
Mukesh Kumar,Bowler,DC,Indian,10 L
Dushmantha Chameera,Bowler,DC,Overseas,10 L
Kuldeep Yadav,Bowler,DC,Indian,1 CR
Nitish Rana,Batter,DC,Indian,1 CR
Auqib Dar,All-rounder,DC,Indian,10 L
Ben Duckett,Wicketkeeper,DC,Overseas,10 L
David Miller,Batter,DC,Overseas,1 CR
Pathum Nissanka,Batter,DC,Overseas,1 CR
Lungi Ngidi,Bowler,DC,Overseas,10 L
Sahil Parakh,Batter,DC,Indian,10 L
Prithvi Shaw,Batter,DC,Indian,10 L
Kyle Jamieson,Bowler,DC,Overseas,10 L
Shubman Gill,Batter,GT,Indian,5 CR
Sai Sudharsan,Batter,GT,Indian,5 CR
Kumar Kushagra,Wicketkeeper,GT,Indian,10 L
Anuj Rawat,Wicketkeeper,GT,Indian,10 L
Jos Buttler,Wicketkeeper,GT,Overseas,5 CR
Nishant Sindhu,All-rounder,GT,Indian,10 L
Glenn Phillips,All-rounder,GT,Overseas,1 CR
Washington Sundar,All-rounder,GT,Indian,1 CR
Arshad Khan,Bowler,GT,Indian,10 L
Shahrukh Khan,Batter,GT,Indian,10 L
Rahul Tewatia,All-rounder,GT,Indian,10 L
Kagiso Rabada,Bowler,GT,Overseas,1 CR
Mohammed Siraj,Bowler,GT,Indian,1 CR
Prasidh Krishna,Bowler,GT,Indian,1 CR
Ishant Sharma,Bowler,GT,Indian,10 L
Gurnoor Singh Brar,Bowler,GT,Indian,10 L
Rashid Khan,Bowler,GT,Overseas,10 L
Manav Suthar,Bowler,GT,Indian,10 L
Sai Kishore,Bowler,GT,Indian,10 L
Jayant Yadav,Bowler,GT,Indian,10 L
Ashok Sharma,Bowler,GT,Indian,10 L
